authorJob,followers,topic,image,video,hashtag,textWords,vote,time,labels
student,5355,etc,1,0,1,17,0,0.5,0
junior,1198,job,1,0,5,20,0,7,2
junior,1905,technical,1,0,2,16,0,7,2
junior,470,job,0,0,4,27,0,1,2
student,89,etc,0,0,0,17,0,2,0
student,502,social,1,0,0,609,0,7,2
senior,2281,social,1,0,8,20,0,7,1
senior,1714,social,0,0,10,61,0,1,1
junior,141,etc,1,0,1,28,0,7,0
junior,17593,technical,1,0,0,86,0,7,2
student,406,technical,0,0,2,72,0,0.5,0
junior,2966,job,1,0,4,18,0,1,2
junior,511,etc,0,0,7,138,0,6,0
senior,1261,technical,1,0,5,34,0,4,1
senior,12572,etc,0,1,1,133,0,1,2
senior,1348,social,1,0,0,70,0,1,2
student,1369,etc,0,0,0,33,0,0.5,1
junior,685,etc,0,0,0,25,0,0.5,0
junior,3060,etc,0,0,0,88,0,0.5,0
junior,1589,etc,1,0,0,35,0,0.5,0
senior,3505,etc,1,0,8,13,0,0.5,1
student,786,social,0,0,2,41,0,4,1
senior,6340,social,0,0,0,62,0,1,1
student,743,technical,1,0,2,42,0,6,1
student,193,technical,0,0,2,42,0,2,0
senior,453,technical,0,1,5,24,0,1,0
senior,12581,social,0,1,1,133,0,1,2
senior,748,technical,0,1,2,72,0,7,1
junior,847,etc,0,0,1,17,0,0.5,1
senior,1260,etc,0,0,2,36,0,1,1
junior,1032,etc,0,0,0,48,0,1,0
senior,2170,etc,0,0,1,44,0,1,0
senior,3413,technical,1,0,5,22,0,1,2
student,1111,etc,0,0,2,48,0,4,1
senior,1262,technical,0,0,4,130,0,4,2
senior,2795,technical,1,0,6,133,0,3,2
junior,117,technical,0,0,5,34,0,7,0
senior,1886,job,0,0,1,136,0,6,2
junior,2466,etc,0,0,1,27,0,5,1
junior,402,technical,0,0,0,95,0,5,1
senior,18403,social,0,1,3,52,0,7,2
senior,7722,job,0,0,0,21,0,7,2
junior,38,technical,0,1,0,43,0,0.5,0
senior,524,social,0,0,0,84,0,7,2
junior,7116,job,0,0,5,47,0,7,2
senior,1912,social,0,1,1,3,0,0.5,1
senior,2900,social,1,0,0,348,0,7,1
junior,2249,etc,1,0,0,24,0,7,0
junior,1600,technical,1,0,5,54,0,7,1
junior,513,technical,1,0,2,1,0,7,0
junior,1955,job,1,0,5,31,0,0.5,1
junior,8653,social,1,0,0,85,0,1,2
junior,6791,social,1,0,0,119,0,1,2
junior,257,job,1,0,10,41,0,0.5,1
senior,6827,social,1,0,1,102,0,0.5,1
junior,8653,technical,1,0,0,9,0,3,2
senior,1766,technical,0,0,0,569,0,14,2
junior,644,etc,0,0,2,125,0,1,1
junior,1308,job,1,0,4,38,0,4,2
junior,190,social,0,1,13,136,0,4,2
junior,3967,social,1,0,0,39,0,4,2
junior,260,job,0,0,11,48,0,6,2
senior,116,job,0,0,3,72,0,5,1
senior,10806,social,1,0,6,56,0,1,2
senior,1800,technical,0,0,1,14,0,1,0
senior,6340,job,1,0,0,111,0,4,2
senior,1265,technical,1,0,4,18,0,4,1
senior,2171,technical,0,0,1,44,0,2,1
senior,854,job,1,0,2,48,0,0.5,2
senior,6340,technical,0,0,1,49,0,5,2
senior,1265,social,0,0,2,162,0,7,2
senior,2655,social,1,0,3,56,0,1,1
senior,2022,social,1,0,21,53,0,2,2
senior,2658,social,0,0,0,296,0,7,2
senior,1774,social,1,0,0,46,0,7,2
senior,12592,technical,1,0,13,47,0,7,2
senior,1368,technical,1,0,0,80,0,6,1
senior,23531,technical,0,1,4,176,0,6,2
senior,6033,etc,0,0,0,149,0,0.5,1
junior,1041,etc,0,0,0,48,0,1,0
senior,2964,social,0,0,0,77,0,0.5,1
junior,1375,technical,1,0,1,213,0,0.5,0
senior,1363,technical,1,0,5,41,0,0.5,1
senior,2022,etc,0,0,2,35,0,2,0
senior,1265,social,0,0,3,139,0,7,1
